"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"5:32:22.8963718 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\dhcpcsvc.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.8966541 AM","chrome.exe","7596","CreateFileMapping","C:\Windows\System32\dhcpcsvc.dll","SUCCESS","SyncType: SyncTypeOther"
"5:32:22.8978596 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\propsys.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.8981157 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\propsys.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.8982684 AM","chrome.exe","7596","CreateFileMapping","C:\Windows\System32\propsys.dll","SUCCESS","SyncType: SyncTypeOther"
"5:32:22.8999674 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\sspicli.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.9002278 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\sspicli.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.9004177 AM","chrome.exe","7596","CreateFileMapping","C:\Windows\System32\sspicli.dll","SUCCESS","SyncType: SyncTypeOther"
"5:32:22.9049592 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\ole32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.9052175 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\ole32.dll","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.9053575 AM","chrome.exe","7596","CreateFileMapping","C:\Windows\System32\ole32.dll","SUCCESS","SyncType: SyncTypeOther"
"5:32:22.9066589 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\UIAutomationCore.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.9089666 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\msasn1.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.9093087 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\msasn1.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.9095021 AM","chrome.exe","7596","CreateFileMapping","C:\Windows\System32\msasn1.dll","SUCCESS","SyncType: SyncTypeOther"
"5:32:23.0081346 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\tzres.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:23.0084971 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\tzres.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:23.0086305 AM","chrome.exe","7596","CreateFileMapping","C:\Windows\System32\tzres.dll","SUCCESS","SyncType: SyncTypeOther"
"5:32:23.0092473 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\en-US\tzres.dll.mui","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:23.0093793 AM","chrome.exe","7596","CreateFileMapping","C:\Windows\System32\en-US\tzres.dll.mui","SUCCESS","SyncType: SyncTypeOther"
"5:32:23.0100979 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\tzres.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:23.0104381 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\tzres.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:23.0105609 AM","chrome.exe","7596","CreateFileMapping","C:\Windows\System32\tzres.dll","SUCCESS","SyncType: SyncTypeOther"
"5:32:23.0113464 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\en-US\tzres.dll.mui","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
